8id,commentaries
76456,White resigns
17495,White resigns
18471,White resigns
72817,White resigns
51510,White resigns
80983,White resigns
29533,White resigns
22153,White resigns
50173,White resigns
35786,White resigns
58618,White resigns
42207,White resigns
31134,White resigns
22940,White resigns
512,White resigns
27160,White resigns
1008,White resigns
43626,White resigns
77735,White resigns
52707,White resigns
13702,White resigns
16427,White resigns
49991,White resigns
69021,White resigns
9606,White resigns
39089,White resigns
9153,White resigns
34196,White resigns
66702,White resigns
54367,White resigns
26964,White resigns
44845,White resigns
51148,White resigns
32542,White resigns
51502,White resigns
29770,White resigns
14338,White resigns
64125,White resigns
70738,White resigns
26396,White resigns
19313,White resigns
21426,White resigns
19758,White resigns
53187,White resigns
14362,White resigns
30268,White resigns
11148,White resigns
12012,White resigns
75488,White resigns
73832,White resigns
28659,White resigns
36434,White resigns
29503,White resigns
432,White resigns
74267,White resigns
21075,White resigns
70809,White resigns
37694,White resigns
3355,White resigns
19366,White resigns
37097,White resigns
56545,White resigns
53139,White resigns
1354,White resigns
72184,White resigns
11520,White resigns
1591,White resigns
64693,White resigns
44249,White resigns
6504,White resigns
52439,White resigns
44818,White resigns
76725,White resigns
68025,White resigns
72141,White resigns
26718,White resigns
15070,White resigns
73354,White resigns
65994,White resigns
14695,White resigns
32942,White resigns
9281,White resigns
1388,White resigns
17326,White resigns
44542,White resigns
22903,White resigns
15693,White resigns
48115,White resigns
43367,White resigns
9764,White resigns
23644,White resigns
75902,White resigns
846,White resigns
79591,White resigns
876,White resigns
21475,White resigns
51564,White resigns
367,White resigns
30342,White resigns
78202,White resigns
11304,White resigns
65352,White resigns
47784,White resigns
24682,White resigns
80640,White resigns
8794,White resigns
23339,White resigns
8338,White resigns
43171,White resigns
22022,White resigns
29548,White resigns
19439,White resigns
78934,White resigns
47800,White resigns
1344,White resigns
72131,White resigns
11882,White resigns
66693,White resigns
53465,White resigns
80605,White resigns
68844,White resigns
17843,White resigns
71178,White resigns
62573,White resigns
71052,White resigns
74377,White resigns
26896,White resigns
38718,White resigns
16721,White resigns
76525,White resigns
37824,White resigns
74127,White resigns
5749,White resigns
80841,White resigns
13830,White resigns
37245,White resigns
72129,White resigns
62333,White resigns
25264,White resigns
75893,White resigns
10134,White resigns
49032,White resigns
59409,White resigns
27971,White resigns
64456,White resigns
50535,White resigns
20687,White resigns
56631,White resigns
68237,White resigns
65246,White resigns
22600,White resigns
27315,White resigns
11657,White resigns
48962,White resigns
52078,White resigns
13766,White resigns
57594,White resigns
13749,White resigns
65316,White resigns
65305,White resigns
9421,White resigns
47274,White resigns
22281,White resigns
29348,White resigns
8167,White resigns
62858,White resigns
63825,White resigns
78500,White resigns
66713,White resigns
5594,White resigns
29229,White resigns
19889,White resigns
61056,White resigns
64531,White resigns
36689,White resigns
29994,White resigns
58891,White resigns
61827,White resigns
76142,White resigns
22105,White resigns
64434,White resigns
5368,White resigns
1187,White resigns
33823,White resigns
67002,White resigns
66463,White resigns
78452,White resigns
59808,White resigns
29205,White resigns
49163,White resigns
51231,White resigns
70999,White resigns
77419,White resigns
2169,White resigns
33017,White resigns
50402,White resigns
43594,White resigns
76483,White resigns
31598,White resigns
67064,White resigns
30078,White resigns
62198,White resigns
76604,White resigns
33970,White resigns
50953,White resigns
17643,White resigns
1188,White resigns
35008,White resigns
54234,White resigns
47463,White resigns
67955,White resigns
62096,White resigns
54264,White resigns
55665,White resigns
3091,White resigns
30676,White resigns
27981,White resigns
1037,White resigns
80913,White resigns
32904,White resigns
56105,White resigns
43476,White resigns
48814,White resigns
44010,White resigns
46495,White resigns
23681,White resigns
10161,White resigns
69848,White resigns
1269,White resigns
28189,White resigns
44635,White resigns
62814,White resigns
47351,White resigns
4249,White resigns
56388,White resigns
63626,White resigns
1894,White resigns
28599,White resigns
25595,White resigns
74276,White resigns
1960,White resigns
39218,White resigns
37236,White resigns
42830,White resigns
6505,White resigns
30368,White resigns
45050,White resigns
78829,White resigns
58078,White resigns
80881,White resigns
5027,White resigns
62955,White resigns
4122,White resigns
26925,White resigns
14614,White resigns
5454,White resigns
5803,White resigns
48933,White resigns
33479,White resigns
25921,White resigns
68435,White resigns
62270,White resigns
24186,White resigns
33450,White resigns
54576,White resigns
68810,White resigns
35134,White resigns
58061,White resigns
31027,White resigns
72038,White resigns
1692,White resigns
78542,White resigns
25995,White resigns
72725,White resigns
56697,White resigns
21840,White resigns
31793,White resigns
68394,White resigns
17114,White resigns
4743,White resigns
63371,White resigns
27945,White resigns
4230,White resigns
1530,White resigns
76113,White resigns
81011,White resigns
71074,White resigns
35852,White resigns
63631,White resigns
63921,White resigns
74648,White resigns
36053,White resigns
63048,White resigns
68162,White resigns
17244,White resigns
34116,White resigns
79531,White resigns
19211,White resigns
49416,White resigns
54531,White resigns
30068,White resigns
48665,White resigns
24312,White resigns
43917,White resigns
7446,White resigns
40293,White resigns
37703,White resigns
29575,White resigns
79793,White resigns
45258,White resigns
72808,White resigns
32200,White resigns
51733,White resigns
15626,White resigns
28205,White resigns
67166,White resigns
1293,White resigns
61422,White resigns
28612,White resigns
16126,White resigns
49256,White resigns
5015,White resigns
24681,White resigns
18411,White resigns
23100,White resigns
21172,White resigns
28221,White resigns
56057,White resigns
36209,White resigns
55341,White resigns
20192,White resigns
57703,White resigns
62817,White resigns
